timestamp,D10005,D10006,D40000,D40004,D40012,D40013,D40018,D40019,D40100,D40104,D40112,D40113,D40118,D40119,D40200,D40204,D40212,D40213,D40218,D40219,D40300,D40304,D40312,D40313,D40318,D40319,D40400,D40404,D40412,D40413,D40418,D40419,D40500,D40504,D40512,D40513,D40518,D40519,D40600,D40604,D40612,D40613,D40618,D40619,X1000,X1001,X1004,X1007,X1008,X1009,X4106,X4107,X4108,X4109,X4110,X4111,X1010,X1011,X1012,X4447,X4671,X1249,X4682,X4683,X4684,X4685,X4686,X4687
2025-07-30T16:20:55.5,0,-1,-122316,0,0,4390912,524296,8,-124590,0,0,4390912,786444,12,9599850,0,0,196608,196611,3,9598123,0,0,196608,1048592,16,5,0,0,196608,65537,1,0,0,0,196608,3735609,57,0,0,0,196608,3473461,53,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1
2025-07-30T16:20:57.0,0,-1,-122316,0,0,4390912,524296,8,-124590,0,0,4390912,786444,12,9599850,0,0,196608,196611,3,9598123,0,0,196608,1048592,16,5,0,0,196608,65537,1,0,0,0,196608,3735609,57,0,0,0,196608,3473461,53,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1
2025-07-30T16:20:58.4,0,-1,-122316,0,0,4390912,524296,8,-124590,0,0,4390912,786444,12,9599850,0,0,196608,196611,3,9598123,0,0,196608,1048592,16,5,0,0,196608,65537,1,0,0,0,196608,3735609,57,0,0,0,196608,3473461,53,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1
2025-07-30T16:20:59.8,0,-1,-122316,0,0,4390912,524296,8,-124590,0,0,4390912,786444,12,9599850,0,0,196608,196611,3,9598123,0,0,196608,1048592,16,5,0,0,196608,65537,1,0,0,0,196608,3735609,57,0,0,0,196608,3473461,53,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1
2025-07-30T16:21:01.2,0,-1,-122316,0,0,4390912,524296,8,-124590,0,0,4390912,786444,12,9599850,0,0,196608,196611,3,9598123,0,0,196608,1048592,16,5,0,0,196608,65537,1,0,0,0,196608,3735609,57,0,0,0,196608,3473461,53,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1
2025-07-30T16:21:02.7,0,-1,-122316,0,0,4390912,524296,8,-124590,0,0,4390912,786445,12,9599850,0,0,196608,196611,3,9598123,0,0,196608,1048592,16,5,0,0,196608,65537,1,0,0,0,196608,3735609,57,0,0,0,196608,3473461,53,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1
2025-07-30T16:21:04.0,0,-1,-122316,0,0,4390912,524296,8,-124590,0,0,4390912,786445,12,9599850,0,0,196608,196611,3,9598123,0,0,196608,1048592,16,5,0,0,196608,65537,1,0,0,0,196608,3735609,57,0,0,0,196608,3473461,53,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1
2025-07-30T16:21:05.5,0,-1,-122316,0,0,4390912,524296,8,-124590,0,0,4390912,786444,12,9599850,0,0,196608,196611,3,9598123,0,0,196608,1048592,16,5,0,0,196608,65537,1,0,0,0,196608,3735609,57,0,0,0,196608,3473461,53,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1
2025-07-30T16:21:07.0,0,-1,-122316,0,0,4390912,524296,8,-124590,0,0,4390912,786444,12,9599850,0,0,196608,196611,3,9598123,0,0,196608,1048592,16,5,0,0,196608,65537,1,0,0,0,196608,3735609,57,0,0,0,196608,3473461,53,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1
2025-07-30T16:21:08.4,0,-1,-122316,0,0,4390912,524296,8,-124590,0,0,4390912,786445,12,9599850,0,0,196608,196611,3,9598123,0,0,196608,1048592,16,5,0,0,196608,65537,1,0,0,0,196608,3735609,57,0,0,0,196608,3473461,53,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1
