timestamp,val0
2025-07-30T14:42:12.7,-122316
2025-07-30T14:42:13.8,-122316
2025-07-30T14:42:14.8,-122316
2025-07-30T14:42:15.8,-122316
2025-07-30T14:42:16.8,-122316
2025-07-30T14:42:17.8,-122316
2025-07-30T14:42:18.8,-122316
2025-07-30T14:42:19.8,-122316
2025-07-30T14:42:20.8,-122316
2025-07-30T14:42:21.8,-122316
2025-07-30T14:42:22.8,-122316
2025-07-30T14:42:23.8,-122316
2025-07-30T14:42:24.8,-122316
2025-07-30T14:42:25.8,-122316
2025-07-30T14:42:26.8,-122316
2025-07-30T14:42:27.9,-122316
2025-07-30T14:42:28.9,-122316
2025-07-30T14:42:29.9,-122316
2025-07-30T14:42:30.9,-122316
2025-07-30T14:42:31.9,-122316
2025-07-30T14:42:32.9,-122316
2025-07-30T14:42:33.9,-122316
2025-07-30T14:42:34.9,-122316
2025-07-30T14:42:35.9,-122316
2025-07-30T14:42:36.9,-122316
2025-07-30T14:42:37.9,-122316
2025-07-30T14:42:39.0,-122316
2025-07-30T14:42:40.0,-122316
2025-07-30T14:42:41.0,-122316
2025-07-30T14:42:42.0,-122316
2025-07-30T14:42:43.0,-122316
2025-07-30T14:42:44.0,-122316
2025-07-30T14:42:45.0,-122316
2025-07-30T14:42:46.1,-122316
2025-07-30T14:42:47.1,-122316
2025-07-30T14:42:48.1,-122316
2025-07-30T14:42:49.1,-122316
2025-07-30T14:42:50.1,-122316
2025-07-30T14:42:51.1,-122316
2025-07-30T14:42:52.1,-122316
2025-07-30T14:42:53.2,-122316
2025-07-30T14:42:54.2,-122316
2025-07-30T14:42:55.2,-122316
2025-07-30T14:42:56.2,-122316
2025-07-30T14:42:57.2,-122316
2025-07-30T14:42:58.2,-122316
2025-07-30T14:42:59.2,-122316
2025-07-30T14:43:00.2,-122316
2025-07-30T14:43:01.2,-122316
2025-07-30T14:43:02.2,-122316
2025-07-30T14:43:03.3,-122316
