timestamp,X4544,X4545,Y1192,Y1198,Y4512,Y4544,Y4545
2025-07-31T13:38:28.2,0,0,0,0,0,0,1
2025-07-31T13:38:28.4,0,0,0,0,0,0,1
2025-07-31T13:38:28.6,0,0,0,0,0,0,1
2025-07-31T13:38:28.7,0,0,0,0,0,0,1
2025-07-31T13:38:28.9,0,0,0,0,0,0,1
2025-07-31T13:38:29.0,0,0,0,0,0,0,1
2025-07-31T13:38:29.2,0,0,0,0,0,0,1
2025-07-31T13:38:29.4,0,0,0,0,0,0,1
2025-07-31T13:38:29.5,0,0,0,0,0,0,1
2025-07-31T13:38:29.7,0,0,0,0,0,0,1
2025-07-31T13:38:29.8,0,0,0,0,0,0,1
2025-07-31T13:38:30.0,0,0,0,0,0,0,1
2025-07-31T13:38:30.2,0,0,0,0,0,0,1
2025-07-31T13:38:30.4,0,0,0,0,0,0,1
2025-07-31T13:38:30.5,0,0,0,0,0,0,1
2025-07-31T13:38:30.7,0,0,0,0,0,0,1
2025-07-31T13:38:30.8,0,0,0,0,0,0,1
2025-07-31T13:38:31.0,0,0,0,0,0,0,1
2025-07-31T13:38:31.1,0,0,0,0,0,0,1
2025-07-31T13:38:31.3,0,0,0,0,0,0,1
2025-07-31T13:38:31.4,0,0,0,0,0,0,1
2025-07-31T13:38:31.6,0,0,0,0,0,0,1
2025-07-31T13:38:31.8,0,0,0,0,0,0,1
2025-07-31T13:38:31.9,0,0,0,0,0,0,1
2025-07-31T13:38:32.1,0,0,0,0,0,0,1
2025-07-31T13:38:32.3,0,0,0,0,0,0,1
2025-07-31T13:38:32.4,0,0,0,0,0,0,1
2025-07-31T13:38:32.6,0,0,0,0,0,0,1
2025-07-31T13:38:32.7,0,0,0,0,0,0,1
2025-07-31T13:38:32.9,0,0,0,0,0,0,1
2025-07-31T13:38:33.1,0,0,0,0,0,0,1
2025-07-31T13:38:33.2,0,0,0,0,0,0,1
2025-07-31T13:38:33.4,0,0,0,0,0,0,1
2025-07-31T13:38:33.6,0,0,0,0,0,0,1
2025-07-31T13:38:33.7,0,0,0,0,0,0,1
2025-07-31T13:38:33.9,0,0,0,0,0,0,1
2025-07-31T13:38:34.0,0,0,0,0,0,0,1
2025-07-31T13:38:34.2,0,0,0,0,0,0,1
2025-07-31T13:38:34.3,0,0,0,0,0,0,1
2025-07-31T13:38:34.5,0,0,0,0,0,0,1
2025-07-31T13:38:34.7,0,0,0,0,0,0,1
2025-07-31T13:38:34.8,0,0,0,0,0,0,1
2025-07-31T13:38:35.0,0,0,0,0,0,0,1
2025-07-31T13:38:35.2,0,0,0,0,0,0,1
2025-07-31T13:38:35.4,0,0,0,0,0,0,1
2025-07-31T13:38:35.6,0,0,0,0,0,0,1
2025-07-31T13:38:35.8,0,0,0,0,0,0,1
2025-07-31T13:38:36.0,0,0,0,0,0,0,1
2025-07-31T13:38:36.2,0,0,0,0,0,0,1
2025-07-31T13:38:36.4,0,0,0,0,0,0,1
2025-07-31T13:38:36.5,0,0,0,0,0,0,1
2025-07-31T13:38:36.7,0,0,0,0,0,0,1
2025-07-31T13:38:36.9,0,0,0,0,0,0,1
2025-07-31T13:38:37.1,0,0,0,0,0,0,1
2025-07-31T13:38:37.3,0,0,0,0,0,0,1
2025-07-31T13:38:37.5,0,0,0,0,0,0,1
2025-07-31T13:38:37.7,0,0,0,0,0,0,1
2025-07-31T13:38:37.9,0,0,0,0,0,0,1
2025-07-31T13:38:38.1,0,0,0,0,0,0,1
2025-07-31T13:38:38.3,0,0,0,0,0,0,1
2025-07-31T13:38:38.4,0,0,0,0,0,0,1
2025-07-31T13:38:38.6,0,0,0,0,0,0,1
2025-07-31T13:38:38.8,0,0,0,0,0,0,1
2025-07-31T13:38:39.0,0,0,0,0,0,0,1
2025-07-31T13:38:39.2,0,0,0,0,0,0,1
2025-07-31T13:38:39.4,0,0,0,0,0,0,1
2025-07-31T13:38:39.6,0,0,0,0,0,0,1
2025-07-31T13:38:39.8,0,0,0,0,0,0,1
2025-07-31T13:38:40.0,0,0,0,0,0,0,1
2025-07-31T13:38:40.2,0,0,0,0,0,0,1
2025-07-31T13:38:40.4,0,0,0,0,0,0,1
2025-07-31T13:38:40.5,0,0,0,0,0,0,1
2025-07-31T13:38:40.7,0,0,0,0,0,0,1
2025-07-31T13:38:40.9,0,0,0,0,0,0,1
2025-07-31T13:38:41.1,0,0,0,0,0,0,1
2025-07-31T13:38:41.3,0,0,0,0,0,0,1
2025-07-31T13:38:41.5,0,0,0,0,0,0,1
2025-07-31T13:38:41.7,0,0,0,0,0,0,1
2025-07-31T13:38:41.8,0,0,0,0,0,0,1
2025-07-31T13:38:42.0,0,0,0,0,0,0,1
2025-07-31T13:38:42.2,0,0,0,0,0,0,1
2025-07-31T13:38:42.4,0,0,0,0,0,0,1
2025-07-31T13:38:42.6,0,0,0,0,0,0,1
2025-07-31T13:38:42.8,0,0,0,0,0,0,1
