timestamp,D410,D5102,D5108,D5110,D40000,D40004,D40012,D40013,D40018,D40019,D40100,D40104,D40112,D40113,D40118,D40119,D40200,D40204,D40212,D40213,D40218,D40219,D40300,D40304,D40312,D40313,D40318,D40319
2025-07-31T13:36:37.2,96,2,30,1,2098,0,0,0,2,2,-90000,0,0,0,30,30,-230000,0,0,0,5,7,-280000,0,0,0,1,1
2025-07-31T13:36:37.6,96,2,30,1,2098,0,0,0,2,2,-90000,0,0,0,30,30,-230000,0,0,0,5,7,-280000,0,0,0,1,1
2025-07-31T13:36:38.1,96,2,30,1,2098,0,0,0,2,2,-90000,0,0,0,30,30,-230000,0,0,0,5,7,-280000,0,0,0,1,1
2025-07-31T13:36:38.5,96,2,30,1,2098,0,0,0,2,2,-90000,0,0,0,30,30,-230000,0,0,0,5,14,-280000,0,0,0,1,1
2025-07-31T13:36:39.0,96,2,30,1,2098,0,0,0,2,2,-90000,0,0,0,30,30,-230000,0,0,0,5,14,-280000,0,0,0,1,1
2025-07-31T13:36:39.4,96,2,30,1,2098,0,0,0,2,2,-90000,0,0,0,30,30,-230000,0,0,0,5,14,-280000,0,0,0,1,1
2025-07-31T13:36:39.9,96,2,30,1,2098,0,0,0,2,2,-90000,0,0,0,30,30,-230000,0,0,0,5,14,-280000,0,0,0,1,1
2025-07-31T13:36:40.4,96,2,30,1,2098,0,0,0,2,2,-90000,0,0,0,30,30,-230000,0,0,0,5,14,-280000,0,0,0,1,1
2025-07-31T13:36:40.8,96,2,30,1,2098,0,0,0,2,2,-90000,0,0,0,30,30,-230000,0,0,0,5,14,-280000,0,0,0,1,1
2025-07-31T13:36:41.3,96,2,30,1,2098,0,0,0,2,2,-90000,0,0,0,30,30,-230000,0,0,0,5,14,-280000,0,0,0,1,1
2025-07-31T13:36:41.8,96,2,30,1,2098,0,0,0,2,2,-90000,0,0,0,30,30,-230000,0,0,0,5,14,-280000,0,0,0,1,1
2025-07-31T13:36:42.2,96,2,30,1,2098,0,0,0,2,2,-90000,0,0,0,30,30,-230000,0,0,0,4,14,-280000,0,0,0,1,1
2025-07-31T13:36:42.7,96,2,30,1,2098,0,0,0,2,2,-90000,0,0,0,30,30,-230000,0,0,0,4,14,-280000,0,0,0,1,1
2025-07-31T13:36:43.1,96,2,30,1,2098,0,0,0,2,2,-90000,0,0,0,30,30,-230000,0,0,0,4,14,-280000,0,0,0,1,1
2025-07-31T13:36:43.6,96,2,30,1,2098,0,0,0,2,2,-90000,0,0,0,30,30,-230000,0,0,0,4,14,-280000,0,0,0,1,1
2025-07-31T13:36:44.1,96,2,30,1,2098,0,0,0,2,2,-90000,0,0,0,30,30,-230000,0,0,0,4,14,-280000,0,0,0,1,1
2025-07-31T13:36:44.5,96,2,30,1,2098,0,0,0,2,2,-90000,0,0,0,30,30,-230000,0,0,0,4,14,-280000,0,0,0,1,1
2025-07-31T13:36:45.0,96,2,30,1,2098,0,0,0,2,2,-90000,0,0,0,30,30,-230000,0,0,0,4,14,-280000,0,0,0,1,1
2025-07-31T13:36:45.4,96,2,30,1,2098,0,0,0,2,2,-90000,0,0,0,30,30,-230000,0,0,0,4,14,-280000,0,0,0,1,1
2025-07-31T13:36:45.9,96,2,30,1,2098,0,0,0,2,2,-90000,0,0,0,30,30,-230000,0,0,0,4,14,-280000,0,0,0,1,1
2025-07-31T13:36:46.3,96,2,30,1,2098,0,0,0,2,2,-90000,0,0,0,30,30,-230000,0,0,0,4,14,-280000,0,0,0,1,1
2025-07-31T13:36:46.8,96,2,30,1,2098,0,0,0,2,2,-90000,0,0,0,30,30,-230000,0,0,0,4,14,-280000,0,0,0,1,1
2025-07-31T13:36:47.3,96,2,30,1,2098,0,0,0,2,2,-90000,0,0,0,30,30,-230000,0,0,0,4,14,-280000,0,0,0,1,1
2025-07-31T13:36:47.7,96,2,30,1,2098,0,0,0,2,2,-90000,0,0,0,30,30,-230000,0,0,0,4,14,-280000,0,0,0,1,1
2025-07-31T13:36:48.2,96,2,30,1,2098,0,0,0,2,2,-90000,0,0,0,30,30,-230000,0,0,0,4,14,-280000,0,0,0,1,1
