timestamp,val0,val1,val2,val3,val4,val5,val6,val7,val8,val9,val10,val11,val12,val13,val14,val15,val16
2025-07-28T16:05:42,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1
2025-07-28T16:05:43,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1
2025-07-28T16:05:44,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1
2025-07-28T16:05:45,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1
2025-07-28T16:05:46,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1
2025-07-28T16:05:47,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1
2025-07-28T16:05:48,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1
2025-07-28T16:05:49,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1
2025-07-28T16:05:50,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1
2025-07-28T16:05:51,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1
2025-07-28T16:05:52,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1
2025-07-28T16:05:53,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1
2025-07-28T16:05:54,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1
2025-07-28T16:05:55,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1
2025-07-28T16:05:56,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1
2025-07-28T16:05:57,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1
2025-07-28T16:05:58,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1
